"date","female_employment","imputed"
2005-06-01,65604,FALSE
2005-07-01,65788,FALSE
2005-08-01,66001,FALSE
2005-09-01,66146,FALSE
2005-10-01,66199,FALSE
2005-11-01,66149,FALSE
2005-12-01,66208,FALSE
2006-01-01,66210,FALSE
2006-02-01,66411,FALSE
2006-03-01,66423,FALSE
2006-04-01,66522,FALSE
2006-05-01,66771,FALSE
2006-06-01,66991,FALSE
2006-07-01,67144,FALSE
2006-08-01,67191,FALSE
2006-09-01,66929,FALSE
2006-10-01,67394,FALSE
2006-11-01,67463,FALSE
2006-12-01,67627,FALSE
2007-01-01,67673,FALSE
2007-02-01,67766,FALSE
2007-03-01,67902,FALSE
2007-04-01,67273,FALSE
2007-05-01,67624,FALSE
2007-06-01,67803,FALSE
2007-07-01,67777,FALSE
2007-08-01,67715,FALSE
2007-09-01,68098,FALSE
2007-10-01,67862,FALSE
2007-11-01,68085,FALSE
2007-12-01,67967,FALSE
2008-01-01,68048,FALSE
2008-02-01,67935,FALSE
2008-03-01,68007,FALSE
2008-04-01,68106,FALSE
2008-05-01,68041,FALSE
2008-06-01,67995,FALSE
2008-07-01,67911,FALSE
2008-08-01,67803,FALSE
2008-09-01,67875,FALSE
2008-10-01,67863,FALSE
2008-11-01,67583,FALSE
2008-12-01,67466,FALSE
2009-01-01,66939,FALSE
2009-02-01,66907,FALSE
2009-03-01,66683,FALSE
2009-04-01,66635,FALSE
2009-05-01,66416,FALSE
2009-06-01,66318,FALSE
2009-07-01,66286,FALSE
2009-08-01,66082,FALSE
2009-09-01,65686,FALSE
2009-10-01,65523,FALSE
2009-11-01,65741,FALSE
2009-12-01,65409,FALSE
2010-01-01,65811,FALSE
2010-02-01,65801,FALSE
2010-03-01,65686,FALSE
2010-04-01,65745,FALSE
2010-05-01,65703,FALSE
2010-06-01,65762,FALSE
2010-07-01,65611,FALSE
2010-08-01,65732,FALSE
2010-09-01,65755,FALSE
2010-10-01,65585,FALSE
2010-11-01,65675,FALSE
2010-12-01,65704,FALSE
2011-01-01,65513,FALSE
2011-02-01,65406,FALSE
2011-03-01,65662,FALSE
2011-04-01,65613,FALSE
2011-05-01,65478,FALSE
2011-06-01,65343,FALSE
2011-07-01,65472,FALSE
2011-08-01,65580,FALSE
2011-09-01,65668,FALSE
2011-10-01,65846,FALSE
2011-11-01,65793,FALSE
2011-12-01,65667,FALSE
2012-01-01,66420,FALSE
2012-02-01,66679,FALSE
2012-03-01,66780,FALSE
2012-04-01,66627,FALSE
2012-05-01,66811,FALSE
2012-06-01,66915,FALSE
2012-07-01,66791,FALSE
2012-08-01,66946,FALSE
2012-09-01,67208,FALSE
2012-10-01,67295,FALSE
2012-11-01,67277,FALSE
2012-12-01,67219,FALSE
2013-01-01,67127,FALSE
2013-02-01,67120,FALSE
2013-03-01,67102,FALSE
2013-04-01,67439,FALSE
2013-05-01,67591,FALSE
2013-06-01,67599,FALSE
2013-07-01,67858,FALSE
2013-08-01,68050,FALSE
2013-09-01,67905,FALSE
2013-10-01,67475,FALSE
2013-11-01,67761,FALSE
2013-12-01,67908,FALSE
2014-01-01,68215,FALSE
2014-02-01,68468,FALSE
2014-03-01,68304,FALSE
2014-04-01,68453,FALSE
2014-05-01,68528,FALSE
2014-06-01,68600,FALSE
2014-07-01,68516,FALSE
2014-08-01,68569,FALSE
2014-09-01,68566,FALSE
2014-10-01,69003,FALSE
2014-11-01,69124,FALSE
2014-12-01,69041,FALSE
2015-01-01,69411,FALSE
2015-02-01,69283,FALSE
2015-03-01,69287,FALSE
2015-04-01,69417,FALSE
2015-05-01,69663,FALSE
2015-06-01,69787,FALSE
2015-07-01,69579,FALSE
2015-08-01,69853,FALSE
2015-09-01,69586,FALSE
2015-10-01,69900,FALSE
2015-11-01,70228,FALSE
2015-12-01,70414,FALSE
2016-01-01,70607,FALSE
2016-02-01,70589,FALSE
2016-03-01,70760,FALSE
2016-04-01,70654,FALSE
2016-05-01,70786,FALSE
2016-06-01,70554,FALSE
2016-07-01,70895,FALSE
2016-08-01,70962,FALSE
2016-09-01,71000,FALSE
2016-10-01,71090,FALSE
2016-11-01,71195,FALSE
